name,calories,fat,carbs,restaurant
Original Bacon Double Cheeseburger,760,45,45,A&W Restaurants
Coney (Chili) Dog,340,20,26,A&W Restaurants
Chili Fries,370,15,49,A&W Restaurants
Strawberry Milkshake (small),670,29,90,A&W Restaurants
A&amp;W® Root Beer Freeze (large),820,18,150,A&W Restaurants
Caramel Sundae,340,9,57,A&W Restaurants
Strawberry Banana Smoothee,420,6,86,A&W Restaurants
Chocolate Fudge Blendrrr,1010,59,152,A&W Restaurants
Strawberry Limeade,420,0,105,A&W Restaurants
Watermelon Slushee,270,0,73,A&W Restaurants
Lime Slushee,480,0,119,A&W Restaurants
A&amp;W® Root Beer,880,0,232,A&W Restaurants
Cheeseburger,420,21,37,A&W Restaurants
French Fries (Regular),310,12,45,A&W Restaurants
Cheese Curds (Large),1140,80,54,A&W Restaurants
Chocolate Milkshake (small),700,29,100,A&W Restaurants
Orange Freeze (small),450,8,108,A&W Restaurants
A&amp;W® Diet Root Beer Float (small),170,5,30,A&W Restaurants
Strawberry Smoothee,610,10,121,A&W Restaurants
Limeade,140,0,38,A&W Restaurants
Cherry Limeade,340,0,90,A&W Restaurants
Lemon Slushee,330,0,82,A&W Restaurants
Blue Raspberry Slushee,570,0,142,A&W Restaurants
A&amp;W® Diet Root Beer,0,0,0,A&W Restaurants
Grilled Chicken Sandwich,400,15,31,A&W Restaurants
French Fries (Large),430,17,61,A&W Restaurants
Chili,190,6,22,A&W Restaurants
Chocolate Milkshake (medium),880,36,125,A&W Restaurants
Orange Freeze (medium),600,10,142,A&W Restaurants
A&amp;W® Diet Root Beer Float (medium),170,5,30,A&W Restaurants
Orange Float (large),610,9,137,A&W Restaurants
Reese's® Peanut Butter Fudge Blendrrr,700,41,103,A&W Restaurants
Limeade,210,0,55,A&W Restaurants
Cherry Limeade,530,0,138,A&W Restaurants
Lemon Slushee,440,0,110,A&W Restaurants
Blue Raspberry Slushee,740,0,182,A&W Restaurants
A&amp;W® Diet Root Beer,0,0,0,A&W Restaurants
Original Double Cheeseburger,680,38,44,A&W Restaurants
Coney (Chili) Cheese Dog,380,23,28,A&W Restaurants
Breaded Onion Rings (Regular),350,16,45,A&W Restaurants
Strawberry Milkshake (medium),840,36,113,A&W Restaurants
A&amp;W® Diet Root Beer Freeze (small),260,8,39,A&W Restaurants
A&amp;W® Root Beer Float (small),330,5,70,A&W Restaurants
Strawberry Banana Smoothee,680,10,137,A&W Restaurants
Oreo® Cookies &amp; Cream Blendrrr,340,12,56,A&W Restaurants
Strawberry Limeade,560,0,143,A&W Restaurants
Watermelon Slushee,360,0,99,A&W Restaurants
Lime Slushee,770,0,188,A&W Restaurants
A&amp;W® Root Beer,1760,0,464,A&W Restaurants
Papa Single Burger,470,25,38,A&W Restaurants
Hot Dog (plain),310,19,23,A&W Restaurants
Cheese Fries,390,18,50,A&W Restaurants
Reese's® Polar Swirl®,740,31,97,A&W Restaurants
A&amp;W® Root Beer Freeze (medium),480,10,89,A&W Restaurants
Hot Fudge Sundae,350,11,54,A&W Restaurants
Strawberry Banana Smoothee,390,6,78,A&W Restaurants
Chocolate Fudge Blendrrr,560,32,92,A&W Restaurants
Strawberry Limeade,290,0,75,A&W Restaurants
Cherry Slushee,900,0,224,A&W Restaurants
Lime Slushee,380,0,94,A&W Restaurants
A&amp;W® Root Beer,440,0,116,A&W Restaurants
Original Bacon Cheeseburger ,530,30,39,A&W Restaurants
Cheese Dog,350,22,26,A&W Restaurants
Breaded Onion Rings (Large),480,27,62,A&W Restaurants
Vanilla Milkshake (small),720,31,97,A&W Restaurants
A&amp;W® Diet Root Beer Freeze (medium),340,10,53,A&W Restaurants
A&amp;W® Root Beer Float (medium),350,5,77,A&W Restaurants
Strawberry Smoothee,360,6,70,A&W Restaurants
Oreo® Cookies &amp; Cream Blendrrr,430,15,72,A&W Restaurants
Cherry Limeade,190,0,51,A&W Restaurants
Watermelon Slushee,460,0,124,A&W Restaurants
Blue Raspberry Slushee,270,0,67,A&W Restaurants
A&amp;W® Diet Root Beer,0,0,0,A&W Restaurants
Hamburger,380,19,33,A&W Restaurants
French Fries (Small/ Kids),200,8,28,A&W Restaurants
Cheese Curds (Regular),570,40,27,A&W Restaurants
Vanilla Milkshake (medium,900,39,121,A&W Restaurants
A&amp;W® Diet Root Beer Freeze (large),600,18,92,A&W Restaurants
A&amp;W® Root Beer Float (large),640,10,136,A&W Restaurants
Strawberry Smoothee,370,6,74,A&W Restaurants
Oreo® Cookies &amp; Cream Blendrrr,650,21,109,A&W Restaurants
Cherry Limeade,300,0,79,A&W Restaurants
Watermelon Slushee,720,0,197,A&W Restaurants
Blue Raspberry Slushee,370,0,91,A&W Restaurants
